GEO_ID,Tract_Name,Total
1400000US36087010101,"Census Tract 101.01, Rockland County, New York",5742
1400000US36087010102,"Census Tract 101.02, Rockland County, New York",4854
1400000US36087010200,"Census Tract 102, Rockland County, New York",4217
1400000US36087010501,"Census Tract 105.01, Rockland County, New York",5291
1400000US36087010503,"Census Tract 105.03, Rockland County, New York",2875
1400000US36087010504,"Census Tract 105.04, Rockland County, New York",7657
1400000US36087010601,"Census Tract 106.01, Rockland County, New York",4058
1400000US36087010602,"Census Tract 106.02, Rockland County, New York",6883
1400000US36087010701,"Census Tract 107.01, Rockland County, New York",4079
1400000US36087010702,"Census Tract 107.02, Rockland County, New York",4387
1400000US36087010703,"Census Tract 107.03, Rockland County, New York",3857
1400000US36087010801,"Census Tract 108.01, Rockland County, New York",4824
1400000US36087010802,"Census Tract 108.02, Rockland County, New York",5288
1400000US36087010803,"Census Tract 108.03, Rockland County, New York",5609
1400000US36087010804,"Census Tract 108.04, Rockland County, New York",4038
1400000US36087010901,"Census Tract 109.01, Rockland County, New York",4790
1400000US36087010902,"Census Tract 109.02, Rockland County, New York",4139
1400000US36087011000,"Census Tract 110, Rockland County, New York",2015
1400000US36087011101,"Census Tract 111.01, Rockland County, New York",5857
1400000US36087011102,"Census Tract 111.02, Rockland County, New York",5945
1400000US36087011200,"Census Tract 112, Rockland County, New York",6545
1400000US36087011302,"Census Tract 113.02, Rockland County, New York",5614
1400000US36087011303,"Census Tract 113.03, Rockland County, New York",5667
1400000US36087011304,"Census Tract 113.04, Rockland County, New York",4651
1400000US36087011305,"Census Tract 113.05, Rockland County, New York",3934
1400000US36087011401,"Census Tract 114.01, Rockland County, New York",4257
1400000US36087011403,"Census Tract 114.03, Rockland County, New York",5548
1400000US36087011404,"Census Tract 114.04, Rockland County, New York",3961
1400000US36087011405,"Census Tract 114.05, Rockland County, New York",4173
1400000US36087011505,"Census Tract 115.05, Rockland County, New York",3493
1400000US36087011506,"Census Tract 115.06, Rockland County, New York",6888
1400000US36087011507,"Census Tract 115.07, Rockland County, New York",4384
1400000US36087011508,"Census Tract 115.08, Rockland County, New York",4216
1400000US36087011509,"Census Tract 115.09, Rockland County, New York",3735
1400000US36087011510,"Census Tract 115.10, Rockland County, New York",4546
1400000US36087011511,"Census Tract 115.11, Rockland County, New York",3674
1400000US36087011512,"Census Tract 115.12, Rockland County, New York",4202
1400000US36087011601,"Census Tract 116.01, Rockland County, New York",3521
1400000US36087011602,"Census Tract 116.02, Rockland County, New York",6667
1400000US36087011603,"Census Tract 116.03, Rockland County, New York",6069
1400000US36087011700,"Census Tract 117, Rockland County, New York",3036
1400000US36087011800,"Census Tract 118, Rockland County, New York",930
1400000US36087011901,"Census Tract 119.01, Rockland County, New York",3943
1400000US36087011902,"Census Tract 119.02, Rockland County, New York",3472
1400000US36087012000,"Census Tract 120, Rockland County, New York",4026
1400000US36087012107,"Census Tract 121.07, Rockland County, New York",5463
1400000US36087012108,"Census Tract 121.08, Rockland County, New York",5669
1400000US36087012109,"Census Tract 121.09, Rockland County, New York",3152
1400000US36087012110,"Census Tract 121.10, Rockland County, New York",3741
1400000US36087012111,"Census Tract 121.11, Rockland County, New York",3273
1400000US36087012112,"Census Tract 121.12, Rockland County, New York",4032
1400000US36087012113,"Census Tract 121.13, Rockland County, New York",4489
1400000US36087012114,"Census Tract 121.14, Rockland County, New York",2874
1400000US36087012115,"Census Tract 121.15, Rockland County, New York",1721
1400000US36087012116,"Census Tract 121.16, Rockland County, New York",3242
1400000US36087012203,"Census Tract 122.03, Rockland County, New York",3531
1400000US36087012204,"Census Tract 122.04, Rockland County, New York",3926
1400000US36087012205,"Census Tract 122.05, Rockland County, New York",2669
1400000US36087012206,"Census Tract 122.06, Rockland County, New York",3134
1400000US36087012301,"Census Tract 123.01, Rockland County, New York",3457
1400000US36087012302,"Census Tract 123.02, Rockland County, New York",3813
1400000US36087012401,"Census Tract 124.01, Rockland County, New York",5307
1400000US36087012403,"Census Tract 124.03, Rockland County, New York",2498
1400000US36087012404,"Census Tract 124.04, Rockland County, New York",2551
1400000US36087012503,"Census Tract 125.03, Rockland County, New York",2970
1400000US36087012504,"Census Tract 125.04, Rockland County, New York",4119
1400000US36087012505,"Census Tract 125.05, Rockland County, New York",3243
1400000US36087012506,"Census Tract 125.06, Rockland County, New York",3243
1400000US36087012600,"Census Tract 126, Rockland County, New York",6172
1400000US36087012700,"Census Tract 127, Rockland County, New York",4363
1400000US36087012800,"Census Tract 128, Rockland County, New York",7238
1400000US36087013001,"Census Tract 130.01, Rockland County, New York",2439
1400000US36087013002,"Census Tract 130.02, Rockland County, New York",5452
1400000US36087013003,"Census Tract 130.03, Rockland County, New York",3265
1400000US36087013101,"Census Tract 131.01, Rockland County, New York",3285
1400000US36087013102,"Census Tract 131.02, Rockland County, New York",3098
1400000US36087013200,"Census Tract 132, Rockland County, New York",2699
1400000US36087013300,"Census Tract 133, Rockland County, New York",2517
1400000US36087013401,"Census Tract 134.01, Rockland County, New York",4395
1400000US36087013402,"Census Tract 134.02, Rockland County, New York",3732
